,Hotel_name,neg,pos,Avg_score,score
614,Hotel De Hallen,26.48803418803419,90.14700854700854,8.799999999999981,0.7061684617718446
615,Hotel De Vigny,23.713333333333335,64.81333333333332,7.5,0.6341287800864018
616,Hotel Dei Cavalieri,20.63812499999999,72.8425,8.40000000000001,0.7166746748120948
617,Hotel Derby,19.421428571428567,44.771428571428565,8.0,0.5662093171665603
618,Hotel Des Saints Peres Esprit de France,25.770270270270274,63.797297297297284,8.800000000000006,0.5960601567464519
619,Hotel Design Secret de Paris,13.344736842105263,76.17894736842105,9.199999999999994,0.8248238220257013
620,Hotel Die Port van Cleve,23.260240963855424,66.66506024096385,8.0,0.6510879780235668
621,Hotel Dieci,13.233333333333333,45.977777777777774,8.1,0.7121797970033832
622,Hotel Domizil,20.31111111111111,78.40493827160492,8.899999999999988,0.7409460225483403
623,Hotel Duminy Vendome,48.72,82.00333333333333,8.199999999999996,0.4058778098451282
624,Hotel Dupond Smith,7.927272727272726,78.20000000000002,9.299999999999999,0.898628225993955
625,Hotel Eden,23.853846153846156,59.17692307692308,8.5,0.5969062784349408
626,Hotel Eiffel Blomet,12.842857142857143,107.55714285714286,9.4,0.8805950325408421
627,Hotel Eitlj rg,18.7,37.339999999999996,8.2,0.499196572040707
628,Hotel Elys es Bassano,19.42000000000001,71.8742857142857,7.900000000000001,0.7298060104945141
629,Hotel Erzherzog Rainer,19.507792207792196,87.41298701298703,8.799999999999976,0.7768318773399895
630,Hotel Espa a Ramblas,20.01896551724137,83.33333333333333,8.700000000000028,0.7597724137931036
631,Hotel Esther a,17.352180936995193,86.33214862681749,9.100000000000053,0.7990067290922832
632,Hotel Eug ne en Ville,33.467796610169486,94.10508474576275,8.300000000000008,0.6443571917438135
633,Hotel Front Maritim,47.983999999999995,75.22000000000001,7.5,0.3620845519808563
634,Hotel G tico,23.53333333333333,77.58888888888889,8.200000000000001,0.6966919662036374
635,Hotel Galileo,35.55641025641025,88.32051282051283,7.8999999999999995,0.5974161707069242
636,Hotel Gallitzinberg,34.00000000000001,54.23333333333333,8.6,0.37307928703134585
637,Hotel Garbi Millenni,31.8,50.076470588235296,7.599999999999998,0.36497122048631503
638,Hotel Georgette,22.90952380952381,89.06666666666668,8.800000000000002,0.7427822925577418
639,Hotel Gran Derby Suites,16.491176470588236,62.02352941176473,8.5,0.7341141881638847
640,Hotel Granados 83,20.980555555555554,79.93888888888888,8.800000000000004,0.737542567238863
641,Hotel Grums Barcelona,27.040816326530614,65.60510204081628,8.299999999999988,0.5878244910021305
642,Hotel Imlauer Wien,22.609589041095894,50.843835616438355,8.5,0.5553130725293673
643,Hotel Imperial A Luxury Collection Hotel,16.394117647058827,93.52352941176473,9.2,0.824705956349456
644,Hotel Indigo Barcelona Plaza Catalunya,24.525000000000002,77.55208333333333,8.600000000000007,0.6837609133646741
645,Hotel Indigo London Kensington,21.77960526315789,96.47368421052634,9.099999999999989,0.7742430441898528
646,Hotel Indigo London Paddington,23.91171171171171,77.21711711711717,8.700000000000017,0.6903314627060706
647,Hotel Indigo London Tower Hill,14.684976525821593,80.76197183098591,9.200000000000031,0.8181696633589695
648,Hotel Indigo Paris Opera,15.502380952380955,81.77619047619048,9.100000000000005,0.8104291620567169
649,Hotel J ger,7.466666666666666,81.79999999999998,9.0,0.9087204563977179
650,Hotel JL No76,24.015044247787614,95.97522123893799,8.799999999999981,0.7497787039427579
651,Hotel Johann Strauss,25.890243902439018,71.00243902439024,8.5,0.6353612036687164
652,Hotel K nig von Ungarn,10.775700934579435,100.3542056074766,9.299999999999983,0.8926233248586781
653,Hotel Kaiserin Elisabeth,15.989473684210521,90.48421052631572,9.200000000000022,0.8232899022801302
654,Hotel Kavalier,28.269811320754737,37.47075471698114,8.0,0.24554998867040925
655,Hotel L Antoine,12.013235294117651,92.9691176470588,8.89999999999999,0.8707825179139183
656,Hotel La Lanterne,24.36,115.63333333333335,9.0,0.7893341020466994
657,Hotel La Place,35.980952380952374,72.64761904761906,7.599999999999997,0.5047194546407973
658,Hotel La Spezia Gruppo MiniHotel,13.25,57.183333333333316,8.4,0.768289128533955
659,Hotel La Villa Saint Germain Des Pr s,25.061904761904763,101.84285714285713,9.099999999999998,0.753915930237995
660,Hotel Lam e,21.946428571428566,81.18035714285713,8.699999999999992,0.7296583885088317
661,Hotel Landhaus Fuhrgassl Huber,4.66,86.6,9.0,0.946189376443418
662,Hotel Le 10 BIS,6.970588235294118,90.9764705882353,9.2,0.9233803181171603
663,Hotel Le Chat Noir,19.51515151515152,82.02121212121212,8.199999999999996,0.7620718956663095
664,Hotel Le Mareuil,17.09090909090909,78.50454545454546,8.900000000000004,0.7822940188755718
665,Hotel Le Pera,41.71666666666666,63.44999999999999,7.8,0.34252692408720775
666,Hotel Le Placide Saint Germain Des Pr s,26.581818181818186,136.98181818181823,8.400000000000002,0.8059463764268648
667,Hotel Le Saint Gregoire,10.6,66.03333333333333,8.5,0.8394750126198889
668,Hotel Le Sainte Beuve,8.941666666666665,86.56666666666666,8.900000000000002,0.8967077396996534
669,Hotel Le Six,8.633333333333333,95.88888888888889,9.099999999999998,0.9099652375434532
670,Hotel Le Squara,16.897435897435898,77.20769230769231,8.300000000000006,0.7811431038490917
671,Hotel Le petit Paris,20.200000000000003,99.2611111111111,8.8,0.796496334023619
672,Hotel Les Bains Paris,20.4875,59.9375,8.900000000000002,0.6581856100104275
673,Hotel Les Bulles De Paris,11.502564102564103,74.28974358974361,8.199999999999994,0.8451661892106445
674,Hotel Les Rives de Notre Dame,6.445454545454544,139.65454545454546,8.599999999999996,0.953847155318318
675,Hotel Les Th tres,24.42954545454545,80.09772727272728,8.199999999999994,0.695003263059331
676,Hotel Liberty,28.200000000000003,42.55555555555556,5.2,0.33733681462140985
677,Hotel Lloyd,20.535135135135135,68.72972972972975,7.5,0.701219032638616
678,Hotel Lombardia,88.15,37.199999999999996,7.8999999999999995,-1.369623655913979
679,Hotel Louis 2,9.953846153846154,89.26153846153846,8.400000000000002,0.8884867287142364
680,Hotel Louvre Montana,16.736363636363635,89.18181818181819,8.400000000000004,0.8123343527013253
681,Hotel Lumen Paris Louvre,18.36,90.96799999999999,8.699999999999996,0.7981707853311054
682,Hotel Mademoiselle,20.303797468354432,78.90886075949369,8.600000000000012,0.7426930604125895
