score,sentiment,word
7.0,1,schipol
7.0,1,loation
7.0,1,indulgent
7.0,1,simone
7.0,1,nandos
7.0,1,geat
7.0,1,padington
7.0,1,equipt
7.0,1,accueil
7.0,1,adella
7.0,1,definatly
7.0,1,altstadt
7.0,1,adore
7.0,1,heloful
7.0,1,lucia
7.0,1,shepards
7.0,1,fabio
7.0,1,eccentric
7.0,1,celine
7.0,1,charles
7.0,1,gentillesse
7.0,1,comfotable
7.0,1,assorted
7.0,1,bra
7.0,1,chatelet
7.0,1,minuts
7.0,1,passionate
7.0,1,buss
7.0,1,trainstation
7.0,1,comeback
7.0,1,plesent
7.0,1,airways
7.0,1,stopover
7.0,1,shard
7.0,1,paul
7.0,1,competent
6.9,1,cava
6.9,1,des
6.9,1,boutique
6.8,1,locality
6.8,1,handwritten
6.8,1,rouge
6.8,1,ace
6.8,1,rarity
6.8,1,gotic
6.8,1,terminus
6.8,1,toren
6.8,1,trendy
6.8,1,national
6.8,1,newly
6.7,1,brompton
6.7,1,gatwick
6.7,1,emirates
6.7,1,cosey
6.7,1,blakemore
6.7,1,canals
6.7,1,exceptionally
6.7,1,library
6.6,1,furnished
6.6,1,quarter
6.6,1,kings
6.6,1,west
6.6,1,lambeth
6.6,1,luxurious
6.6,1,george
6.6,1,eclectic
6.6,1,notting
6.6,1,mus
6.6,1,oscar
6.6,1,handsome
6.6,1,westcord
6.6,1,hearts
6.6,1,caroline
6.6,1,metropolitan
6.6,1,greated
6.6,1,clenliness
6.6,1,juliette
6.6,1,swish
6.6,1,rockwell
6.6,1,sloan
6.6,1,gary
6.6,1,softest
6.6,1,truffles
6.6,1,heath
6.6,1,pantry
6.6,1,destinations
6.6,1,arr
6.5,1,cosy
6.5,1,seamless
6.5,1,hearty
6.5,1,islington
6.5,1,silent
6.5,1,hospitable
6.5,1,approachable
6.5,1,sites
6.5,1,professionalism
6.5,1,exceeded
6.5,1,glorious
6.5,1,boats
6.5,1,buzzy
6.5,1,cdg
6.5,1,proffesional
6.5,1,coziness
6.5,1,serviceminded
6.5,1,notch
6.4,1,arch
6.4,1,beach
6.4,1,edgware
6.4,1,alles
6.4,1,interieur
6.4,1,boulevards
6.4,1,resto
6.4,1,straff
6.4,1,nadler
6.4,1,bahn
6.4,1,nice
6.4,1,brasseries
6.4,1,princess
6.4,1,subway
6.4,1,staf
6.4,1,centrally
6.3,1,newish
6.3,1,cheerfully
6.3,1,antiques
6.3,1,lcation
6.3,1,paseo
6.3,1,bygone
6.3,1,friendless
6.3,1,charlotte
6.3,1,likeable
6.3,1,deux
6.3,1,royce
6.3,1,zen
6.3,1,coffeeshops
6.3,1,impressively
6.3,1,mario
6.3,1,pulitzer
6.3,1,charterhouse
6.3,1,grate
6.3,1,carlos
6.3,1,duo
6.3,1,vinci
6.3,1,brian
6.3,1,alain
6.3,1,ambiente
6.3,1,fusion
6.3,1,comfortble
6.3,1,wirh
6.3,1,restraints
6.3,1,gems
6.3,1,colonial
6.3,1,jason
6.3,1,xbox
6.3,1,foodhallen
6.3,1,gratefully
6.3,1,nico
6.3,1,dab
6.3,1,refreshingly
6.3,1,softdrinks
6.3,1,effiel
6.3,1,comphy
6.3,1,abdul
6.3,1,elysse
6.3,1,wellcoming
6.3,1,olimpic
6.3,1,opulent
6.3,1,smart
6.3,1,sightseeing
6.3,1,market
6.3,1,chilled
6.3,1,buses
6.3,1,lancaster
6.3,1,thanks
6.3,1,sweets
6.3,1,ornate
6.3,1,interiors
6.3,1,markets
6.2,1,garden
6.2,1,embassy
6.2,1,infused
6.2,1,loacation
6.2,1,wellington
6.2,1,groovy
6.2,1,teams
6.2,1,resteraunts
6.2,1,guitar
6.2,1,exquisitely
6.2,1,talented
6.2,1,chris
6.2,1,waterside
6.2,1,sant
6.2,1,raspail
6.2,1,atmosphere
6.2,1,de
6.2,1,defiantly
6.1,1,theater
6.1,1,galleria
6.1,1,hats
6.1,1,merci
6.1,1,fleet
6.1,1,heritage
6.1,1,sam
6.1,1,transport
6.1,1,resturants
6.1,1,fulham
6.1,1,enjoyable
6.1,1,amstel
6.1,1,historical
6.1,1,position
6.1,1,fizz
6.1,1,rooftops
6.0,1,canary
6.0,1,wharf
6.0,1,cloud
6.0,1,languages
6.0,1,tours
6.0,1,smiling
5.9,1,treats
5.9,1,crisp
5.9,1,versailles
5.9,1,canal
5.9,1,retreat
5.9,1,stops
5.9,1,venues
5.9,1,sexy
5.9,1,lent
5.9,1,pauls
5.9,1,westend
5.9,1,metrostation
5.8,1,balloon
5.8,1,close
5.8,1,bistros
5.8,1,cinema
5.8,1,juliet
5.8,1,winning
5.8,1,bespoke
5.8,1,favourites
5.8,1,wholesome
5.8,1,discreetly
5.8,1,belgravia
5.8,1,claire
5.8,1,uniformly
5.8,1,lisa
5.8,1,javier
5.8,1,est
5.8,1,welcome
5.7,1,surpassed
5.7,1,molton
5.7,1,efficiency
5.7,1,mums
5.7,1,presented
5.7,1,david
5.7,1,definately
5.7,1,conveniences
5.7,1,russel
5.7,1,darkening
5.7,1,firendly
5.7,1,persian
5.7,1,juicer
5.7,1,stylist
5.7,1,worlde
5.7,1,sabrina
5.7,1,mahmoud
5.7,1,sidestreet
5.7,1,stonehenge
5.7,1,ckean
5.7,1,greatful
5.7,1,md
5.7,1,gdn
5.7,1,agreeable
5.7,1,intelligently
5.7,1,mia
5.7,1,arcade
5.7,1,phillip
5.7,1,edition
5.7,1,genuinely
5.7,1,clichy
5.7,1,sacher
5.7,1,fragrant
