score,sentiment,word
10.2,0,ruining
10.2,0,biggie
10.2,0,authorized
10.2,0,bump
10.2,0,transactions
10.2,0,nets
10.2,0,dim
10.2,0,horrendous
10.1,0,applicable
10.1,0,fingers
10.1,0,presume
10.1,0,suddenly
10.1,0,hitting
10.1,0,consequence
10.1,0,angry
10.1,0,dreadful
10.1,0,creamer
10.1,0,engine
10.1,0,vehicles
10.1,0,handle
10.1,0,sliding
10.0,0,promised
10.0,0,guarantee
10.0,0,cigarettes
10.0,0,empty
10.0,0,wasnt
10.0,0,automatically
10.0,0,closing
9.9,0,drab
9.9,0,rusty
9.9,0,leak
9.9,0,account
9.9,0,repair
9.9,0,assume
9.9,0,shelves
9.9,0,stifling
9.9,0,wiped
9.9,0,tiny
9.9,0,refunded
9.9,0,cushion
9.9,0,advert
9.9,0,layer
9.9,0,mild
9.9,0,kicked
9.9,0,slowly
9.9,0,horrible
9.9,0,suppose
9.9,0,ridiculously
9.9,0,suspicious
9.9,0,undrinkable
9.9,0,robbery
9.9,0,comfier
9.9,0,vibrations
9.9,0,agreement
9.9,0,websites
9.9,0,truck
9.8,0,occasionally
9.8,0,supposedly
9.8,0,resulted
9.8,0,upset
9.8,0,removed
9.8,0,fumes
9.8,0,vibrating
9.8,0,knobs
9.8,0,overflowed
9.8,0,leaning
9.8,0,lorry
9.8,0,laughable
9.8,0,ashtray
9.8,0,disconnect
9.8,0,uncooperative
9.8,0,periods
9.8,0,slammed
9.8,0,justify
9.7,0,mediocre
9.7,0,knocked
9.7,0,pen
9.7,0,claiming
9.7,0,supposed
9.7,0,slope
9.7,0,dissatisfied
9.7,0,bitten
9.7,0,drown
9.7,0,grave
9.7,0,flasks
9.7,0,junk
9.7,0,council
9.7,0,translucent
9.7,0,lustre
9.7,0,amex
9.7,0,inte
9.7,0,trial
9.7,0,frayed
9.7,0,untrue
9.7,0,whistling
9.7,0,sluggish
9.7,0,tattered
9.7,0,ouch
9.7,0,musky
9.7,0,broader
9.7,0,humiliating
9.7,0,crumpled
9.7,0,crouch
9.7,0,sparsely
9.7,0,nites
9.7,0,swiped
9.7,0,unaccommodating
9.7,0,handyman
9.7,0,loosing
9.7,0,splitting
9.7,0,misunderstandings
9.7,0,flowed
9.7,0,thy
9.7,0,tired
9.6,0,trash
9.6,0,locked
9.6,0,refurbishing
9.6,0,burn
9.6,0,bizarre
9.6,0,cramped
9.6,0,deserted
9.6,0,gum
9.6,0,rigid
9.6,0,ignoring
9.5,0,cardboard
9.5,0,horribly
9.5,0,harsh
9.5,0,taller
9.5,0,humidity
9.5,0,paperwork
9.5,0,slipped
9.5,0,construction
9.5,0,struggled
9.4,0,renovate
9.4,0,investigate
9.4,0,hotter
9.4,0,mistakes
9.4,0,talking
9.4,0,terribly
9.4,0,wash
9.4,0,permission
9.4,0,sock
9.4,0,leftover
9.4,0,annoyingly
9.4,0,approved
9.4,0,dorm
9.4,0,recycling
9.4,0,refusing
9.4,0,profit
9.4,0,insert
9.4,0,argue
9.4,0,excuses
9.4,0,minor
9.4,0,confused
9.4,0,missing
9.3,0,degrees
9.3,0,thankfully
9.3,0,edges
